CO,HC,Temp,Hum,CO2,TVOC,DD
190,42,32.7,68,679,42,3
187,38,32.7,68,699,45,0
191,48,32.8,68,602,30,4
186,41,32.7,68,594,29,0
195,40,32.8,68,694,44,4
188,37,32.8,68,694,44,0
188,36,32.8,68,597,30,0
182,46,32.8,68,581,27,26
195,43,32.4,68,605,31,0
195,42,32.4,68,682,42,1
188,40,32.4,68,584,28,0
192,40,32.4,68,660,39,0
183,42,32.4,68,580,27,0
192,35,32.4,68,679,42,0
185,47,32.4,68,564,24,2
193,43,32.4,68,660,39,0
187,38,32.4,68,675,41,3
188,38,32.4,68,672,41,0
187,38,32.4,68,674,41,0
188,37,32.4,68,666,40,0
186,38,32.4,68,666,40,0
187,41,32.3,68,665,40,2
186,38,32.3,68,617,33,0
187,42,32.3,68,597,30,0
198,44,32.3,68,657,39,22
188,38,32.3,68,660,39,0
185,35,32.3,68,659,39,17
186,37,32.3,68,659,39,0
185,35,32.3,68,652,38,11
185,35,32.3,67,660,39,17
185,38,32.3,67,650,38,0
185,39,32.3,67,633,35,1
185,38,32.3,67,637,36,0
185,38,32.3,67,629,34,2
184,35,32.3,67,634,35,16
184,35,32.3,67,574,26,0
190,40,32.3,67,712,47,0
187,38,32.3,67,690,44,7
186,41,32.3,67,668,40,0
186,38,32.3,67,672,41,0
189,42,32.3,67,653,38,3
189,40,32.3,67,640,36,0
195,44,32.3,67,634,35,4
186,38,32.3,67,623,33,0
185,38,32.3,67,607,31,0
189,42,32.3,67,603,30,0
185,38,32.3,67,566,25,0
182,40,32.3,67,492,14,0
186,38,32.3,67,551,23,0
190,43,32.3,67,561,24,0
183,37,32.3,67,577,26,0
182,44,32.3,67,496,14,8
185,35,32.3,67,570,25,0
188,40,32.3,67,574,26,0
192,39,32.3,67,518,17,0
193,42,32.3,67,586,28,3
187,35,32.3,67,586,28,0
186,38,32.3,67,577,26,0
188,37,32.3,67,584,28,0
188,42,32.3,67,589,28,4
185,41,32.3,67,594,29,3
185,40,32.3,67,594,29,0
181,42,32.3,67,520,18,0
188,35,32.3,67,603,30,0
186,44,32.3,67,533,20,0
192,42,32.3,67,627,34,3
188,40,32.3,67,627,34,0
186,39,32.3,67,633,35,0
189,42,32.3,67,603,30,2
186,35,32.3,67,640,36,0
185,35,32.3,67,637,36,2
187,38,32.3,67,646,37,1
187,38,32.3,67,589,28,1
188,35,32.3,67,659,39,8
187,38,32.3,67,683,43,0
187,38,32.3,67,674,41,3
188,37,32.3,67,682,42,0
188,38,32.3,67,672,41,0
188,35,32.3,67,678,42,0
189,41,32.3,67,678,42,6
187,35,32.3,67,675,41,7
187,38,32.3,67,675,41,1
188,38,32.3,67,674,41,11
188,36,32.3,67,668,40,0
184,41,32.3,67,577,26,0
192,37,32.3,67,668,40,0
192,40,31.9,67,617,33,0
188,35,32.2,67,650,38,0
188,36,32.3,67,660,39,0
194,47,32.3,67,491,13,2
187,37,32.3,67,495,14,0
188,35,32.3,67,652,38,1
184,40,32.3,67,556,23,0
193,42,32.3,67,580,27,4
193,40,31.9,67,646,37,0
190,38,31.8,67,646,37,0
